city,customer_count,percentage,cumulative_percentage
sao paulo,15540,0,15.62735692521193471500
rio de janeiro,6882,0,22.54804356352007723200
belo horizonte,2773,0,25.33663177160326223600
brasilia,2131,0,27.47961102563329009200
curitiba,1521,0,29.00916121117044277500
campinas,1444,0,30.46127854707816695300
porto alegre,1379,0,31.84803049044156836700
salvador,1245,0,33.10002916302128900600
guarulhos,1189,0,34.29571303587051618500
sao bernardo do campo,938,0,35.23898593135628161400
